class_uri,class_curie,class_label,predicate_uri,predicate_curie,predicate_label,count
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://schema.org/name,schema:name,schema:name,781
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://schema.org/recordingOf,schema:recordingOf,schema:recordingOf,712
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,http://wembrewind.live/ex#isOriginalMember,ex:isOriginalMember,ex:isOriginalMember,444
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,https://w3id.org/polifonia/ontology/music-meta/involvesMemberOfMusicEnsemble,mm:involvesMemberOfMusicEnsemble,mm:involvesMemberOfMusicEnsemble,444
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,https://w3id.org/polifonia/ontology/music-meta/involvesMusicEnsemble,mm:involvesMusicEnsemble,mm:involvesMusicEnsemble,444
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://schema.org/hasPart,schema:hasPart,schema:hasPart,405
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://schema.org/inAlbum,schema:inAlbum,schema:inAlbum,405
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://schema.org/sameAs,schema:sameAs,schema:sameAs,405
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,376
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,https://w3id.org/polifonia/ontology/core/hasTimeInterval,core:hasTimeInterval,core:hasTimeInterval,364
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/name,schema:name,schema:name,363
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/name,schema:name,schema:name,363
https://w3id.org/polifonia/ontology/core/TimeInterval,core:TimeInterval,core:TimeInterval,https://w3id.org/polifonia/ontology/core/startTime,core:startTime,core:startTime,359
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,http://schema.org/startDate,schema:startDate,schema:startDate,359
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://schema.org/sameAs,schema:sameAs,schema:sameAs,358
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/member,schema:member,schema:member,355
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,https://w3id.org/polifonia/ontology/core/hasMember,core:hasMember,core:hasMember,355
http://schema.org/Person,schema:Person,schema:Person,https://w3id.org/polifonia/ontology/core/isMemberOf,core:isMemberOf,core:isMemberOf,355
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/member,schema:member,schema:member,355
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,https://w3id.org/polifonia/ontology/core/hasMember,core:hasMember,core:hasMember,355
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,https://w3id.org/polifonia/ontology/core/isMemberOf,core:isMemberOf,core:isMemberOf,355
http://schema.org/Person,schema:Person,schema:Person,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,337
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,337
https://w3id.org/polifonia/ontology/core/Role,core:Role,core:Role,http://schema.org/instrument,schema:instrument,schema:instrument,335
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,http://schema.org/instrument,schema:instrument,schema:instrument,335
https://w3id.org/polifonia/ontology/core/Role,core:Role,core:Role,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,330
