predicate_uri,predicate_curie,predicate_label,triple_count
http://schema.org/name,schema:name,schema:name,2086
http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,1387
http://schema.org/sameAs,schema:sameAs,schema:sameAs,1097
http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,1021
http://schema.org/recordingOf,schema:recordingOf,schema:recordingOf,712
http://schema.org/instrument,schema:instrument,schema:instrument,670
http://wembrewind.live/ex#isOriginalMember,ex:isOriginalMember,ex:isOriginalMember,444
https://w3id.org/polifonia/ontology/music-meta/involvesMemberOfMusicEnsemble,mm:involvesMemberOfMusicEnsemble,mm:involvesMemberOfMusicEnsemble,444
https://w3id.org/polifonia/ontology/music-meta/involvesMusicEnsemble,mm:involvesMusicEnsemble,mm:involvesMusicEnsemble,444
http://schema.org/startDate,schema:startDate,schema:startDate,413
http://schema.org/hasPart,schema:hasPart,schema:hasPart,407
http://schema.org/inAlbum,schema:inAlbum,schema:inAlbum,405
https://w3id.org/polifonia/ontology/core/hasTimeInterval,core:hasTimeInterval,core:hasTimeInterval,364
https://w3id.org/polifonia/ontology/core/startTime,core:startTime,core:startTime,359
http://schema.org/member,schema:member,schema:member,356
https://w3id.org/polifonia/ontology/core/hasMember,core:hasMember,core:hasMember,356
https://w3id.org/polifonia/ontology/core/isMemberOf,core:isMemberOf,core:isMemberOf,356
https://w3id.org/polifonia/ontology/core/involvesRole,core:involvesRole,core:involvesRole,330
https://w3id.org/polifonia/ontology/music-meta/hasRecording,mm:hasRecording,mm:hasRecording,308
https://w3id.org/polifonia/ontology/music-meta/onRelease,mm:onRelease,mm:onRelease,300
http://schema.org/duration,schema:duration,schema:duration,293
http://schema.org/endDate,schema:endDate,schema:endDate,292
https://w3id.org/polifonia/ontology/core/endTime,core:endTime,core:endTime,292
https://w3id.org/polifonia/ontology/music-meta/hasGenre,mm:hasGenre,mm:hasGenre,277
http://schema.org/description,schema:description,schema:description,250
http://schema.org/roleName,schema:roleName,schema:roleName,247
http://schema.org/item,schema:item,schema:item,239
http://schema.org/itemListElement,schema:itemListElement,schema:itemListElement,239
http://schema.org/position,schema:position,schema:position,239
http://wembrewind.live/ex#recordedAs,ex:recordedAs,ex:recordedAs,169
http://wembrewind.live/ex#songPerformed,ex:songPerformed,ex:songPerformed,167
http://schema.org/value,schema:value,schema:value,102
http://schema.org/identifier,schema:identifier,schema:identifier,99
http://schema.org/propertyID,schema:propertyID,schema:propertyID,99
http://schema.org/image,schema:image,schema:image,92
http://schema.org/about,schema:about,schema:about,72
http://schema.org/location,schema:location,schema:location,65
http://schema.org/isPartOf,schema:isPartOf,schema:isPartOf,63
http://schema.org/performer,schema:performer,schema:performer,56
http://schema.org/numberOfItems,schema:numberOfItems,schema:numberOfItems,53
http://schema.org/itemListOrder,schema:itemListOrder,schema:itemListOrder,52
http://schema.org/url,schema:url,schema:url,52
http://wembrewind.live/ex#setList,ex:setList,ex:setList,52
http://schema.org/datePublished,schema:datePublished,schema:datePublished,44
http://schema.org/byArtist,schema:byArtist,schema:byArtist,39
http://schema.org/provider,schema:provider,schema:provider,39
http://wembrewind.live/ex#isDebutAlbum,ex:isDebutAlbum,ex:isDebutAlbum,39
http://schema.org/embedUrl,schema:embedUrl,schema:embedUrl,33
http://schema.org/video,schema:video,schema:video,33
http://schema.org/foundingDate,schema:foundingDate,schema:foundingDate,31
http://schema.org/foundingLocation,schema:foundingLocation,schema:foundingLocation,29
http://schema.org/birthDate,schema:birthDate,schema:birthDate,26
http://schema.org/birthPlace,schema:birthPlace,schema:birthPlace,26
http://schema.org/gender,schema:gender,schema:gender,26
http://schema.org/reviewAspect,schema:reviewAspect,schema:reviewAspect,15
http://schema.org/citation,schema:citation,schema:citation,13
http://www.w3.org/ns/oa#hasBody,http://www.w3.org/ns/oa#hasBody,http://www.w3.org/ns/oa#hasBody,12
http://purl.org/dc/terms/subject,dcterms:subject,dcterms:subject,11
http://www.w3.org/ns/oa#hasTarget,http://www.w3.org/ns/oa#hasTarget,http://www.w3.org/ns/oa#hasTarget,11
http://wembrewind.live/ex#isIconic,ex:isIconic,ex:isIconic,10
http://www.w3.org/2004/02/skos/core#prefLabel,skos:prefLabel,skos:prefLabel,10
http://www.w3.org/2004/02/skos/core#inScheme,skos:inScheme,skos:inScheme,9
http://wembrewind.live/ex#hasChallenge,ex:hasChallenge,ex:hasChallenge,7
http://schema.org/subEvent,schema:subEvent,schema:subEvent,6
http://schema.org/author,schema:author,schema:author,5
http://schema.org/itemReviewed,schema:itemReviewed,schema:itemReviewed,5
http://schema.org/reviewBody,schema:reviewBody,schema:reviewBody,5
http://www.w3.org/2004/02/skos/core#hasTopConcept,skos:hasTopConcept,skos:hasTopConcept,5
http://schema.org/alternateName,schema:alternateName,schema:alternateName,4
http://schema.org/keywords,schema:keywords,schema:keywords,4
http://www.w3.org/ns/oa#exact,http://www.w3.org/ns/oa#exact,http://www.w3.org/ns/oa#exact,4
http://www.w3.org/ns/oa#prefix,http://www.w3.org/ns/oa#prefix,http://www.w3.org/ns/oa#prefix,4
http://www.w3.org/ns/oa#suffix,http://www.w3.org/ns/oa#suffix,http://www.w3.org/ns/oa#suffix,4
http://schema.org/containedInPlace,schema:containedInPlace,schema:containedInPlace,3
http://schema.org/currency,schema:currency,schema:currency,3
http://schema.org/genre,schema:genre,schema:genre,3
http://schema.org/organizer,schema:organizer,schema:organizer,3
http://wembrewind.live/ex#playsInstrument,ex:playsInstrument,ex:playsInstrument,3
http://wembrewind.live/ex#raisedAmount,ex:raisedAmount,ex:raisedAmount,3
http://wembrewind.live/ex#wasBroadcastBy,ex:wasBroadcastBy,ex:wasBroadcastBy,3
http://wembrewind.live/ex#wasBroadcastVia,ex:wasBroadcastVia,ex:wasBroadcastVia,3
https://w3id.org/polifonia/ontology/music-meta/hasISRC,mm:hasISRC,mm:hasISRC,3
http://purl.org/dc/terms/created,dcterms:created,dcterms:created,2
http://schema.org/address,schema:address,schema:address,2
http://schema.org/addressLocality,schema:addressLocality,schema:addressLocality,2
http://schema.org/audience,schema:audience,schema:audience,2
http://schema.org/recordedIn,schema:recordedIn,schema:recordedIn,2
http://schema.org/spatial,schema:spatial,schema:spatial,2
http://wembrewind.live/ex#distributedVia,ex:distributedVia,ex:distributedVia,2
http://wembrewind.live/ex#inspiredEvent,ex:inspiredEvent,ex:inspiredEvent,2
http://wembrewind.live/ex#usedBroadcastInfrastructure,ex:usedBroadcastInfrastructure,ex:usedBroadcastInfrastructure,2
http://wembrewind.live/ex#wasBroadcastPreserved,ex:wasBroadcastPreserved,ex:wasBroadcastPreserved,2
http://www.w3.org/ns/oa#hasSelector,http://www.w3.org/ns/oa#hasSelector,http://www.w3.org/ns/oa#hasSelector,2
http://www.w3.org/ns/oa#hasSource,http://www.w3.org/ns/oa#hasSource,http://www.w3.org/ns/oa#hasSource,2
http://www.w3.org/ns/oa#refinedBy,http://www.w3.org/ns/oa#refinedBy,http://www.w3.org/ns/oa#refinedBy,2
http://schema.org/audienceType,schema:audienceType,schema:audienceType,1
http://schema.org/broadcastOfEvent,schema:broadcastOfEvent,schema:broadcastOfEvent,1
http://schema.org/spatialCoverage,schema:spatialCoverage,schema:spatialCoverage,1
http://schema.org/subjectOf,schema:subjectOf,schema:subjectOf,1
http://schema.org/superEvent,schema:superEvent,schema:superEvent,1
http://wembrewind.live/ex#archived,ex:archived,ex:archived,1
http://wembrewind.live/ex#attendance,ex:attendance,ex:attendance,1
http://wembrewind.live/ex#countryCount,ex:countryCount,ex:countryCount,1
http://wembrewind.live/ex#coverageNote,ex:coverageNote,ex:coverageNote,1
http://wembrewind.live/ex#facilitatedBy,ex:facilitatedBy,ex:facilitatedBy,1
