predicate_uri,predicate_label,triple_count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,4395
http://schema.org/name,name,2089
http://schema.org/sameAs,sameAs,1079
http://www.w3.org/2000/01/rdf-schema#label,label,1058
http://www.w3.org/2002/07/owl#sameAs,sameAs,1038
http://schema.org/recordingOf,recordingOf,712
https://w3id.org/polifonia/ontology/music-meta/involvesMemberOfMusicEnsemble,involvesMemberOfMusicEnsemble,444
https://w3id.org/polifonia/ontology/music-meta/involvesMusicEnsemble,involvesMusicEnsemble,444
http://wembrewind.live/ex#isOriginalMember,isOriginalMember,444
http://schema.org/startDate,startDate,414
http://schema.org/hasPart,hasPart,407
http://schema.org/inAlbum,inAlbum,405
http://schema.org/member,member,356
http://schema.org/instrument,instrument,335
https://w3id.org/polifonia/ontology/music-meta/hasRecording,hasRecording,308
https://w3id.org/polifonia/ontology/music-meta/onRelease,onRelease,300
http://schema.org/duration,duration,293
http://schema.org/endDate,endDate,293
https://w3id.org/polifonia/ontology/music-meta/hasGenre,hasGenre,277
http://schema.org/description,description,255
http://schema.org/roleName,roleName,247
http://schema.org/item,item,239
http://schema.org/itemListElement,itemListElement,239
http://schema.org/position,position,239
https://w3id.org/polifonia/ontology/music-meta/recordedAs,recordedAs,169
https://w3id.org/polifonia/ontology/music-meta/performedWork,performedWork,167
http://schema.org/value,value,160
http://schema.org/propertyID,propertyID,157
http://schema.org/identifier,identifier,101
http://schema.org/image,image,92
http://wembrewind.live/ex#mbGenreId,mbGenreId,85
http://schema.org/about,about,73
http://schema.org/location,location,66
http://schema.org/isPartOf,isPartOf,63
http://schema.org/performer,performer,56
http://schema.org/numberOfItems,numberOfItems,53
http://schema.org/itemListOrder,itemListOrder,52
http://wembrewind.live/ex#setList,setList,52
http://schema.org/url,url,52
http://schema.org/datePublished,datePublished,44
http://schema.org/byArtist,byArtist,39
http://wembrewind.live/ex#isDebutAlbum,isDebutAlbum,39
http://schema.org/provider,provider,39
http://schema.org/embedUrl,embedUrl,33
http://schema.org/video,video,33
http://schema.org/foundingDate,foundingDate,31
http://schema.org/foundingLocation,foundingLocation,29
http://schema.org/birthDate,birthDate,26
http://schema.org/birthPlace,birthPlace,26
http://schema.org/gender,gender,26
http://schema.org/reviewAspect,reviewAspect,15
http://schema.org/citation,citation,14
http://www.w3.org/ns/oa#hasBody,hasBody,12
http://www.w3.org/ns/oa#hasTarget,hasTarget,11
http://purl.org/dc/terms/subject,subject,11
http://wembrewind.live/ex#isIconic,isIconic,10
http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,10
http://www.w3.org/2004/02/skos/core#inScheme,inScheme,9
http://wembrewind.live/ex#hasChallenge,hasChallenge,7
http://schema.org/isBasedOn,isBasedOn,6
http://schema.org/subEvent,subEvent,6
http://schema.org/author,author,5
http://www.w3.org/2004/02/skos/core#hasTopConcept,hasTopConcept,5
http://schema.org/itemReviewed,itemReviewed,5
http://schema.org/reviewBody,reviewBody,5
http://schema.org/alternateName,alternateName,4
http://www.w3.org/ns/oa#exact,exact,4
http://schema.org/keywords,keywords,4
http://www.w3.org/ns/oa#prefix,prefix,4
http://www.w3.org/ns/oa#suffix,suffix,4
http://schema.org/containedInPlace,containedInPlace,3
http://schema.org/currency,currency,3
http://schema.org/genre,genre,3
https://w3id.org/polifonia/ontology/music-meta/hasISRC,hasISRC,3
http://schema.org/organizer,organizer,3
http://wembrewind.live/ex#playsInstrument,playsInstrument,3
http://wembrewind.live/ex#raisedAmount,raisedAmount,3
http://wembrewind.live/ex#wasBroadcastBy,wasBroadcastBy,3
http://wembrewind.live/ex#wasBroadcastVia,wasBroadcastVia,3
http://schema.org/address,address,2
http://schema.org/addressLocality,addressLocality,2
http://schema.org/audience,audience,2
http://schema.org/audienceType,audienceType,2
http://purl.org/dc/terms/created,created,2
http://wembrewind.live/ex#distributedVia,distributedVia,2
http://www.w3.org/ns/oa#hasSelector,hasSelector,2
http://www.w3.org/ns/oa#hasSource,hasSource,2
http://wembrewind.live/ex#inspiredEvent,inspiredEvent,2
http://schema.org/recordedIn,recordedIn,2
http://www.w3.org/ns/oa#refinedBy,refinedBy,2
http://schema.org/spatial,spatial,2
http://wembrewind.live/ex#usedBroadcastInfrastructure,usedBroadcastInfrastructure,2
http://wembrewind.live/ex#wasBroadcastPreserved,wasBroadcastPreserved,2
http://schema.org/affectedBy,affectedBy,1
http://wembrewind.live/ex#archived,archived,1
http://schema.org/associatedMedia,associatedMedia,1
http://wembrewind.live/ex#attendance,attendance,1
http://schema.org/broadcastOfEvent,broadcastOfEvent,1
http://wembrewind.live/ex#countryCount,countryCount,1
http://wembrewind.live/ex#coverageNote,coverageNote,1
http://wembrewind.live/ex#facilitatedBy,facilitatedBy,1
http://wembrewind.live/ex#hadBroadcast,hadBroadcast,1
http://wembrewind.live/ex#hasAttribute,hasAttribute,1
http://wembrewind.live/ex#hasStatus,hasStatus,1
http://wembrewind.live/ex#numberOfActs,numberOfActs,1
http://wembrewind.live/ex#participatedIn,participatedIn,1
http://wembrewind.live/ex#relatedFact,relatedFact,1
http://schema.org/spatialCoverage,spatialCoverage,1
http://schema.org/subjectOf,subjectOf,1
http://schema.org/superEvent,superEvent,1
http://wembrewind.live/ex#viewerCount,viewerCount,1
