PerformanceLabel,EntityURI,WikidataArtist,WikidataEvent,WikipediaEvent,WikipediaArtist
Bob Dylan Live Aid Performance 1,http://example.org/liveaid/BobDylanPerformance1,http://www.wikidata.org/entity/Q392,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Bryan Adams Live Aid Performance 1,http://example.org/liveaid/BryanAdamsPerformance1,http://www.wikidata.org/entity/Q482907,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
David Bowie Live Aid Performance 1,http://example.org/liveaid/DavidBowiePerformance1,http://www.wikidata.org/entity/Q5383,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
David Bowie Live Aid Performance 2,http://example.org/liveaid/DavidBowiePerformance2,http://www.wikidata.org/entity/Q5383,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Dire Straits Live Aid Performance 1,http://example.org/liveaid/DireStraitsPerformance1,http://www.wikidata.org/entity/Q50040,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Elton John Live Aid Performance 1,http://example.org/liveaid/EltonJohnPerformance1,http://www.wikidata.org/entity/Q2808,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Elton John Live Aid Performance 2,http://example.org/liveaid/EltonJohnPerformance2,http://www.wikidata.org/entity/Q2808,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Eric Clapton Live Aid Performance 1,http://example.org/liveaid/EricClaptonPerformance1,http://www.wikidata.org/entity/Q48187,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Led Zeppelin Live Aid Performance 1,http://example.org/liveaid/LedZeppelinPerformance1,http://www.wikidata.org/entity/Q2331,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Madonna Live Aid Performance 1,http://example.org/liveaid/MadonnaPerformance1,http://www.wikidata.org/entity/Q1744,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Paul McCartney Live Aid Performance 1,http://example.org/liveaid/PaulMcCartneyPerformance1,http://www.wikidata.org/entity/Q2599,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Phil Collins Live Aid Performance 1,http://example.org/liveaid/PhilCollinsPerformance1,http://www.wikidata.org/entity/Q144622,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Queen Live Aid Performance 1,http://example.org/liveaid/QueenPerformance1,http://www.wikidata.org/entity/Q15862,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Queen Live Aid Performance 2,http://example.org/liveaid/QueenPerformance2,http://www.wikidata.org/entity/Q15862,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
Sting Live Aid Performance 1,http://example.org/liveaid/StingPerformance1,http://www.wikidata.org/entity/Q483203,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
The Cars Live Aid Performance 1,http://example.org/liveaid/TheCarsPerformance1,http://www.wikidata.org/entity/Q858388,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
The Who Live Aid Performance 1,http://example.org/liveaid/TheWhoPerformance1,http://www.wikidata.org/entity/Q93346,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
The Who Live Aid Performance 2,http://example.org/liveaid/TheWhoPerformance2,http://www.wikidata.org/entity/Q93346,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
U2 Live Aid Performance 1,http://example.org/liveaid/U2Performance1,http://www.wikidata.org/entity/Q396,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
U2 Live Aid Performance 2,http://example.org/liveaid/U2Performance2,http://www.wikidata.org/entity/Q396,http://www.wikidata.org/entity/Q184199,https://en.wikipedia.org/wiki/Live_Aid,
