SongLabel,EntityURI,Wikidata,MusicBrainz,Wikipedia
Bad,http://example.org/liveaid/Bad,http://www.wikidata.org/entity/Q2602667,62d0a051-20ff-3fce-961c-c9157e38a07d,https://en.wikipedia.org/wiki/Bad_(U2_song)
Bennie and the Jets,http://example.org/liveaid/BennieandtheJets,http://www.wikidata.org/entity/Q2560178,6ef8fb46-a4dc-312f-9a18-e21682fd7550,https://en.wikipedia.org/wiki/Bennie_and_the_Jets
Blowin' in the Wind,http://example.org/liveaid/BlowinintheWind,http://www.wikidata.org/entity/Q640529,f5a12d42-00a1-3bc2-8ed1-df2506ea3db2,https://en.wikipedia.org/wiki/Blowin%27_in_the_Wind
Bohemian Rhapsody,http://example.org/liveaid/BohemianRhapsody,http://www.wikidata.org/entity/Q187745,41c94a08-a551-3c86-bb17-d9a52e3a618b,https://en.wikipedia.org/wiki/Bohemian_Rhapsody
Drive,http://example.org/liveaid/Drive,http://www.wikidata.org/entity/Q169987,4cbcd04d-3b93-30b1-bd33-3ace8d4a1826,https://en.wikipedia.org/wiki/Drive_(The_Cars_song)
Heroes,http://example.org/liveaid/Heroes,http://www.wikidata.org/entity/Q701655,e2b01286-a914-3eb9-a0ab-89e0659b878c,https://en.wikipedia.org/wiki/%22Heroes%22_(David_Bowie_song)
In the Air Tonight,http://example.org/liveaid/IntheAirTonight,http://www.wikidata.org/entity/Q546425,b9a05cea-1b4d-3139-980e-a48e14537800,https://en.wikipedia.org/wiki/In_the_Air_Tonight
Layla,http://example.org/liveaid/Layla,http://www.wikidata.org/entity/Q923966,beb76331-bb4b-30b3-b4f4-ca80742ebd47,https://en.wikipedia.org/wiki/Layla
Let It Be,http://example.org/liveaid/LetItBe,http://www.wikidata.org/entity/Q184259,ef5b9074-84d2-3e46-81ba-cdbe57898033,https://en.wikipedia.org/wiki/Let_It_Be_(song)
Like a Virgin,http://example.org/liveaid/LikeaVirgin,http://www.wikidata.org/entity/Q542497,2ae1284a-3eb2-3b00-bb8c-9597593f2309,https://en.wikipedia.org/wiki/Like_a_Virgin_(song)
My Generation,http://example.org/liveaid/MyGeneration,http://www.wikidata.org/entity/Q8353114,a55b5d5b-cc47-304c-98c1-460fe91e1cd7,https://en.wikipedia.org/wiki/My_Generation
Pinball Wizard,http://example.org/liveaid/PinballWizard,http://www.wikidata.org/entity/Q2321342,6ef8cd26-d0a7-36a1-84f5-5d872364d7c6,https://en.wikipedia.org/wiki/Pinball_Wizard
Radio Ga Ga,http://example.org/liveaid/RadioGaGa,http://www.wikidata.org/entity/Q605031,2c76fe20-59d5-3dd9-93ee-be2107ac977c,https://en.wikipedia.org/wiki/Radio_Ga_Ga
Rebel Rebel,http://example.org/liveaid/RebelRebel,http://www.wikidata.org/entity/Q2190364,dc6d909d-a39f-3932-a194-19703564743e,https://en.wikipedia.org/wiki/Rebel_Rebel
Rocket Man,http://example.org/liveaid/RocketMan,http://www.wikidata.org/entity/Q56070897,af9bc306-eb56-3eb1-9d37-eb46ceca1e50,https://en.wikipedia.org/wiki/Rocket_Man_(song)
Roxanne,http://example.org/liveaid/Roxanne,http://www.wikidata.org/entity/Q1631268,0ddba90a-83cd-3edc-9335-14460903952e,https://en.wikipedia.org/wiki/Roxanne_(The_Police_song)
Stairway to Heaven,http://example.org/liveaid/StairwaytoHeaven,http://www.wikidata.org/entity/Q192023,968ee3c5-21fa-35de-88f9-bd1c300ac3ee,https://en.wikipedia.org/wiki/Stairway_to_Heaven
Sultans of Swing,http://example.org/liveaid/SultansofSwing,http://www.wikidata.org/entity/Q2270916,8626823c-47f9-3053-a9c5-4b7e9343b5df,https://en.wikipedia.org/wiki/Sultans_of_Swing
Summer of '69,http://example.org/liveaid/Summerof69,http://www.wikidata.org/entity/Q1472791,9604422e-df7a-3528-9c25-c3afa67678ae,https://en.wikipedia.org/wiki/Summer_of_%2769
Sunday Bloody Sunday,http://example.org/liveaid/SundayBloodySunday,http://www.wikidata.org/entity/Q1779491,dc2c1143-4ef4-3406-873f-e3158942e363,https://en.wikipedia.org/wiki/Sunday_Bloody_Sunday
